guid,brisque
20230228-18h13m46s,48.648633725804956
20230228-18h40m13s,68.15558657461563
20230228-14h47m33s,68.8919753974611
20230301-19h37m37s,68.45970313319557
20230228-15h42m55s,70.43956346066895
20230301-11h51m21s,50.155290008169715
20230301-19h48m25s,55.666977472659795
20230301-12h01m33s,47.923931199989596
20230228-18h52m20s,65.33594602471678
20230301-11h14m04s,54.12503834603629
20230228-14h54m18s,53.76069840413439
20230301-11h19m57s,49.38758041252308
20230301-19h25m34s,69.32102544782433
20230301-19h58m39s,49.666906239664655
20230228-19h08m24s,68.76583222407018
20230301-20h03m44s,58.27653065317824
20230228-14h42m16s,53.52397573374142
20230228-15h37m38s,51.31506616824245
20230228-18h29m05s,50.058290836365046
20230228-19h03m08s,49.539874353539716
20230301-12h06m37s,53.66237588231721
20230301-19h20m17s,54.13492333451288
20230301-20h09m03s,67.005065724677
20230228-15h22m19s,50.5123190065045
20230228-18h24m10s,71.07901728286342
20230228-15h04m33s,53.09699804729061
20230301-11h36m01s,55.435188838228186
20230301-19h15m10s,53.40383638766323
20230301-12h21m57s,55.94038266578926
20230228-14h59m37s,69.75626899589449
20230301-11h56m37s,67.41238843327025
20230301-11h25m14s,68.43830946162333
20230228-14h37m08s,54.146760136470135
20230228-15h32m31s,52.2095204546396
20230301-19h10m14s,66.46448732306274
20230301-12h27m15s,66.75558447362366
20230301-19h53m43s,68.65997628057468
20230228-18h18m54s,49.998531999913354
20230301-19h04m56s,53.849859827396614
20230301-11h46m13s,50.539988545984244
20230228-15h10m23s,60.454353298732116
20230228-18h34m57s,53.5449002608656
20230301-12h16m49s,53.703198846718266
20230301-11h30m08s,53.92514875529011
20230301-12h11m54s,66.11322856592503
20230228-18h57m15s,52.574027122184845
20230228-18h03m33s,51.82838971818339
20230301-11h41m17s,67.82284188639116
20230301-19h32m18s,51.99340161293841
20230228-15h27m36s,66.61621227767623
20230228-17h58m25s,55.045777782356055
20230301-19h42m33s,53.54960209475357
20230228-18h47m02s,53.358282390543735
20230228-18h08m50s,68.43108023090886
20230228-15h15m41s,68.35130511506313
20230306-17h52m43s,47.89829527656323
20230306-13h42m36s,66.86042019188173
20230306-17h25m17s,53.51318689175977
20230306-14h47m19s,77.15962919009732
20230306-12h55m47s,81.10206724370087
20230306-17h15m13s,78.55740959612697
20230306-16h54m43s,52.060314688674026
20230306-16h22m36s,54.01200682638719
20230306-13h21m57s,77.82511502088582
20230306-17h35m51s,67.77814689778515
20230306-13h00m39s,49.14346033621436
20230306-17h42m40s,77.49147339109899
20230306-15h47m17s,80.3215480405506
20230306-14h29m59s,48.12698607287322
20230306-17h20m24s,80.1550001454356
20230306-14h09m58s,67.52462599939005
20230306-16h49m50s,68.11135514422787
20230306-12h50m36s,76.20497344619858
20230306-16h38m52s,66.35435306224159
20230306-17h47m50s,81.24176160374074
20230306-16h28m31s,45.80649987100392
20230306-15h57m18s,51.428832100279095
20230306-14h52m30s,80.97027321394611
20230306-17h57m51s,49.555155970998186
20230306-14h04m31s,50.902328184195056
20230306-16h44m40s,79.02991325544068
20230306-16h02m34s,68.47337970422953
20230306-17h05m16s,68.8302547533539
20230306-16h17m44s,68.55616418279087
20230306-14h40m31s,68.79861182946692
20230306-16h33m56s,68.65318037910308
20230306-16h59m51s,52.23939559731397
20230306-15h26m44s,47.97110424950475
20230306-16h12m34s,77.4223847211002
20230306-13h05m46s,46.75169587110699
20230306-13h16m09s,65.27345397602792
20230306-13h27m07s,81.35166239104828
20230306-15h19m57s,68.87167500301766
20230306-15h37m04s,61.601362952992844
20230306-17h30m25s,51.814791126655535
20230306-15h07m58s,68.378784126579
20230306-16h07m30s,59.31543128495704
20230306-15h42m07s,77.28891823851953
20230306-17h10m11s,60.52360927712945
20230306-15h32m08s,67.71824276456866
20230306-15h52m10s,53.90707804011478
20230306-13h52m34s,76.82943897971344
20230306-13h47m31s,59.727145070396574
20230306-15h02m31s,47.480841636268934
20230306-13h32m01s,54.36198280163447
20230306-14h19m55s,76.30944121572858
20230306-13h37m10s,47.3881741063756
20230306-14h25m05s,67.29261526824197
20230306-14h14m52s,62.02859029381577
20230306-13h57m45s,68.12953599090858
20230306-14h57m23s,52.33910867464792
20230306-15h14m47s,77.57850589580599
20230306-13h11m13s,67.22465277697202
20230306-14h35m04s,51.10584797710382
20230307-03h01m38s,66.49845707355857
20230306-23h05m54s,81.31653326278897
20230307-00h27m22s,59.98252443113168
20230306-23h56m51s,59.10950298181976
20230307-02h08m43s,49.69854703607834
20230307-01h21m14s,67.41991563140297
20230306-18h30m44s,69.64619786074408
20230306-21h56m02s,67.82062252941196
20230306-23h51m56s,71.33630290033844
20230306-19h36m22s,76.26288421605469
20230306-20h54m51s,64.62381332301786
20230306-22h12m54s,50.8519996706506
20230307-02h35m59s,45.708381108637155
20230306-21h04m50s,76.99959471610018
20230307-02h51m27s,58.8901345559232
20230306-21h40m36s,80.69721736964559
20230307-01h09m54s,52.32175008011214
20230307-02h19m18s,67.52744818746291
20230307-03h17m06s,67.46823186383298
20230307-01h43m15s,47.74046047689055
20230307-00h17m03s,50.404658733945695
20230306-18h37m32s,76.95269590657509
20230306-19h57m01s,67.56409203227108
20230307-00h47m38s,50.22417204931767
20230307-00h07m03s,79.72903168148818
20230306-21h25m28s,65.58497191962667
20230306-22h02m51s,76.77578787460706
20230306-22h40m15s,42.14278661987382
20230306-20h34m12s,77.46755542587735
20230306-22h23m27s,67.95829177466075
20230306-18h20m12s,52.811247345180306
20230306-22h50m47s,70.2252885054937
20230307-01h28m04s,76.9011089263445
20230306-19h03m06s,64.67721241665194
20230307-00h37m35s,80.64068266603041
20230307-01h05m01s,68.43755954428255
20230306-22h30m11s,76.94435962882292
20230307-00h53m03s,67.63960731460313
20230307-02h46m32s,69.85892004259537
20230306-20h27m28s,68.72706222004538
20230307-01h33m14s,69.56966463481578
20230306-20h16m58s,42.15517228287493
20230306-19h13m20s,70.10273768900927
20230306-22h18m02s,46.980164574780275
20230306-22h08m01s,80.2106141055153
20230306-21h45m30s,49.00876888985388
20230306-20h12m05s,80.37076218320178
20230307-02h31m06s,67.42025830798408
20230306-20h44m16s,51.28111981608092
20230307-03h11m40s,51.04184871220909
20230306-18h10m10s,77.06100454745828
20230306-18h25m20s,49.94516965284933
20230306-23h00m44s,77.49638737677512
20230306-20h39m23s,67.92351597458887
20230306-20h22m03s,47.956952450277385
20230306-18h47m36s,52.947661272990246
20230306-21h20m02s,49.01470679260345
20230306-18h52m45s,49.268291770906814
20230306-19h29m32s,64.43335160637938
20230306-20h01m57s,66.49917633304861
20230307-01h38m07s,52.09705234486026
20230306-18h03m16s,69.26853076146207
20230306-20h49m24s,50.92074352406283
20230306-21h35m26s,76.94585643253558
20230306-23h10m47s,49.66736186287423
20230306-21h50m38s,50.33815967103479
20230306-23h31m18s,77.61126080112072
20230307-01h53m37s,64.30074225244076
20230307-01h15m48s,47.95521305516556
20230306-20h06m59s,77.64134854275969
20230306-19h46m25s,48.790625433906115
20230306-19h51m34s,50.7533779134865
20230307-00h59m51s,77.01218030762587
20230306-22h55m41s,64.48738517568867
20230306-23h36m29s,66.30454908755175
20230307-00h22m27s,67.23111468326064
20230306-19h24m07s,48.30053598416484
20230307-00h32m25s,77.17406229093942
20230307-00h11m57s,45.95591001877219
20230306-23h41m21s,49.89100529260563
20230307-15h19m42s,69.32857872281167
20230306-21h30m23s,58.25685259523769
20230306-19h18m13s,51.56819326432017
20230307-02h41m06s,44.994797061408946
20230307-02h13m52s,50.73873216954988
20230306-21h14m54s,47.01248142718802
20230307-02h03m50s,69.42011153926362
20230306-20h59m47s,59.376152309844514
20230306-22h45m21s,51.03244120599007
20230307-15h09m15s,52.92116548623025
20230307-16h22m45s,67.68231206432776
20230306-22h35m22s,65.73001153635684
20230306-18h42m42s,69.50915990302943
20230306-23h15m56s,50.13950282006775
20230307-03h06m32s,50.497049637182755
20230307-01h48m42s,68.68638110415517
20230306-18h15m19s,66.49516889959975
20230306-23h21m22s,70.37741873972547
20230307-01h58m40s,76.28204288693311
20230307-16h02m42s,66.86461177077453
20230307-16h12m41s,76.6769718927674
20230307-15h04m22s,69.25378690021606
20230307-14h59m12s,77.11402667129997
20230307-15h14m23s,56.508323528795955
20230307-14h23m36s,47.086506841991394
20230306-21h10m00s,81.7066256950429
20230306-23h46m30s,49.89757508320426
20230307-16h58m22s,51.91352485890374
20230307-13h11m34s,76.92967474809942
20230307-13h21m37s,64.40795830978809
